fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.111,other,31.8,0.32,0.98,0.1,,,,,,0.82,3,2,3,1,1,,2,274254,2718,293109,2073805,1000,3898,3039,432,,464,382,111,,838,2656410,1161804,1071312,2021-10-14,https://covidactnow.org/us/nebraska-ne,0.601,0.554,9,2236998,3
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.054,other,40.3,0.05,1.06,0.1,,,,,,0.79,3,1,3,2,1,,1,126773,1511,103485,2456367,140,2821,2189,136,,216,171,47,,544,2198500,981658,845736,2021-10-14,https://covidactnow.org/us/new_hampshire-nh,0.722,0.622,2,1845507,3
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.038,other,18.6,0.36,0.93,0.1,,,,,,0.46,2,1,2,1,1,,0,1175915,27653,1168922,16907338,3000,21778,15190,947,,2948,1344,193,,1746,14355425,6531045,5795903,2021-10-14,https://covidactnow.org/us/new_jersey-nj,0.735,0.653,29,11832086,3
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.093,other,25.8,0.14,0.94,0.1,,,,,,0.89,3,1,3,1,1,,3,262078,4901,311487,3388331,375,4030,3014,331,,445,395,101,,708,3044815,1541474,1341592,2021-10-14,https://covidactnow.org/us/new_mexico-nm,0.735,0.64,14,2866616,3
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.097,other,23.4,0.17,0.95,0.1,,,,,,0.83,2,1,2,1,1,,2,439793,7367,547901,3719937,600,8427,6522,730,,823,687,161,,728,4136290,1903703,1591845,2021-10-14,https://covidactnow.org/us/nevada-nv,0.618,0.517,22,3494834,3
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.03,other,24.0,0.41,0.98,0.1,,,,,,0.7,2,0,2,1,1,,0,2486254,55402,2752616,55880280,9620,44657,35865,2524,,4963,3475,488,,4524,30350485,14064963,12578530,2021-10-14,https://covidactnow.org/us/new_york-ny,0.723,0.647,55,26470399,3
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.104,other,42.3,0.07,0.93,0.1,,,,,,0.79,3,2,3,2,1,,1,1480371,23021,1273424,14913463,1659,28397,22350,3861,,3924,3101,941,,5648,15445155,6419117,5957472,2021-10-14,https://covidactnow.org/us/ohio-oh,0.549,0.51,0,12424916,3
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.118,other,31.3,0.11,0.92,0.1,,,,,,0.86,3,2,3,1,1,,3,629512,9402,606129,2411774,700,9242,6614,836,,937,806,246,,1218,5136900,2280293,1924626,2021-10-14,https://covidactnow.org/us/oklahoma-ok,0.576,0.486,189,4290212,3
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.073,other,28.3,0.11,0.93,0.1,,,,,,0.73,3,1,3,1,1,,1,346480,4117,308496,4759356,656,7022,5424,732,,794,583,146,,1136,6902115,2841583,2606536,2021-10-14,https://covidactnow.org/us/oregon-or,0.674,0.618,33,5393757,3
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.09,other,36.5,0.06,0.99,0.1,,,,,,0.85,3,1,3,2,1,,2,1491146,30228,1494024,17175940,1508,29115,24894,3570,,3560,3036,689,,5012,19817515,9539723,7540559,2021-10-14,https://covidactnow.org/us/pennsylvania-pa,0.745,0.589,170,16720260,3
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.034,other,4.1,,0.81,0.12,,,,,,0.69,1,1,1,4,0,,0,216476,3199,115968,1513965,10,9302,5536,114,,641,445,25,,176,4966290,2566962,2293490,2021-10-14,https://covidactnow.org/us/puerto_rico-pr,0.804,0.718,6,4800808,1
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.017,other,24.8,0.15,0.96,0.1,,,,,,0.81,2,0,2,1,1,,2,175777,2857,201216,4384566,200,2450,2125,90,,150,121,11,,290,1743595,809994,736100,2021-10-14,https://covidactnow.org/us/rhode_island-ri,0.765,0.695,1,1500016,3
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.067,other,30.9,0.1,0.79,0.1,,,,,,0.78,3,1,3,2,0,,1,880984,13093,918998,8115812,775,10690,8594,1221,,1403,1093,360,,999,7126465,2893676,2498894,2021-10-14,https://covidactnow.org/us/south_carolina-sc,0.562,0.485,37,5453456,3
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.185,other,37.8,0.21,0.95,0.1,,,,,,0.66,3,2,3,1,1,,0,149337,2177,96514,706559,350,2596,1628,207,,244,162,60,,1088,1236665,533842,463913,2021-10-14,https://covidactnow.org/us/south_dakota-sd,0.603,0.524,0,986658,3
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.113,other,29.5,0.12,0.81,0.1,,,,,,0.7,3,2,3,1,0,,0,1229933,15601,1024570,7544241,1226,18302,12607,1808,,2429,1694,551,,2295,8881290,3655597,3179269,2021-10-14,https://covidactnow.org/us/tennessee-tn,0.535,0.466,47,7131461,3
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.081,other,23.0,0.11,0.85,0.1,,,,,,0.91,2,1,2,1,0,,3,4115565,68587,4352509,31454960,3722,61541,47852,6635,,6972,6377,2031,,9697,42851235,17505141,15131427,2021-10-14,https://covidactnow.org/us/texas-tx,0.604,0.522,300,33221405,3
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.113,other,33.0,0.23,0.94,0.1,,,,,,0.71,3,2,3,1,1,,1,526507,3042,607211,4601375,1200,5567,3483,579,,640,455,202,,1844,4136920,1920632,1669236,2021-10-14,https://covidactnow.org/us/utah-ut,0.599,0.521,17,3541158,3
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.081,other,18.9,0.19,0.85,0.1,,,,,,0.76,2,1,2,1,0,,1,897978,13285,1155373,9369755,1547,17505,13127,1587,,1936,1469,378,,2359,13147245,5929541,5261118,2021-10-14,https://covidactnow.org/us/virginia-va,0.695,0.616,66,11208314,3
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.033,other,39.4,0.04,1.06,0.11,,,,,,0.77,3,1,3,2,1,,1,36352,340,50326,2210011,53,1223,915,49,,101,78,17,,327,1102050,490330,438890,2021-10-14,https://covidactnow.org/us/vermont-vt,0.786,0.703,1,930976,3
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,,other,30.5,0.18,0.94,0.1,,,,,,0.76,3,4,3,1,1,,1,691783,8205,384834,7161721,2122,11575,9386,1349,,1248,951,291,,2889,11742125,5191442,4737654,2021-10-14,https://covidactnow.org/us/washington-wa,0.682,0.622,85,9895229,3
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.094,other,46.1,0.04,0.99,0.1,,,,,,0.67,3,1,3,2,1,,0,846580,9124,905156,10898414,600,12470,9228,1328,,1573,1049,341,,2860,7755705,3593202,3339975,2021-10-14,https://covidactnow.org/us/wisconsin-wi,0.617,0.574,23,7010197,3
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.122,other,63.5,0.04,0.87,0.1,,,,,,0.84,3,2,3,2,0,,2,255778,3998,287294,3337223,248,6009,4806,948,,643,538,237,,1130,3039565,870127,729669,2021-10-14,https://covidactnow.org/us/west_virginia-wv,0.486,0.407,3,1573739,3
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.108,other,73.5,0.02,0.96,0.1,,,,,,0.68,3,2,3,2,1,,0,96059,1080,75100,964178,50,1597,867,229,,139,95,62,,439,690825,286607,247064,2021-10-14,https://covidactnow.org/us/wyoming-wy,0.495,0.427,0,542124,3
